dataset_legivel,documento,topico,total,n_nf,n_txt,sim_std,sim_mean,silver,silver_is_nf,flag_empate,flag_divergencia,flag_baixa_sim,flag_silver_unico,n_flags,resp_Claude_Sonnet_45_Com,resp_GPT-51_Com_raciocini,resp_Grok_41_Com_raciocin,resp_Sonar,gabarito_humano,silver_correto,notas
conhecimento_12,AALM_2_Escritura-Escritura_20240908_000.pdf,COVENANTS_FINANCEIROS,4,2,2,0.5773502691896257,0.5,Não encontrado,True,True,True,True,False,3,Não encontrado,"Índices Financeiros (Dívida Líquida/EBITDA): (a) Aura Minerals: Dívida Líquida/EBITDA deve ser igual ou inferior a 2,75x (Índice Financeiro Inicial) e, adicionalmente para distribuição de dividendos, deve ser igual ou inferior a 1,75x; (b) Emissora (Índice Financeiro Posterior): até 31 de dezembro de 2026, Dívida Líquida/EBITDA menor ou igual a 2,00x; a partir de 31 de março de 2027 até a Data de Vencimento, menor ou igual a 1,50x.",Não encontrado,"Dívida Líquida/EBITDA ≤ 2,00x até 31/12/2026 e ≤ 1,50x a partir de 31/03/2027",,,
conhecimento_12,AASN_1_Escritura-Escritura_20220506_000.pdf,COVENANTS_FINANCEIROS,4,2,2,0.5773502691896257,0.5,Não encontrado,True,True,True,True,False,3,Não encontrado,Não encontrado,"Múltiplos Eventos de Vencimento Antecipado incluindo: (i) descumprimento de obrigações pecuniárias; (ii) falência do Acionista, Águas do Sertão ou Emissora; (iii) fusão, liquidação, cisão ou reorganização societária da Emissora; (iv) alteração ou transferência de controle societário; (v) pagamento de lucros/dividendos não aprovados; (vi) cessão de obrigações; (vii) insuficiência de Alienação Fiduciária de Ações; (viii) rescisão do Contrato de Concessão dos Serviços Públicos; (ix) Thresholds financeiros: protestos acima de R$ 5.000.000,00; inadimplemento acima de R$ 5.000.000,00; inscrição em cadastros de proteção ao crédito acima de R$ 5.000.000,00; desapropriação acima de R$ 5.000.000,00",índices financeiros gerais,,,
conhecimento_12,ADPA_1_Escritura-Escritura_20250613_000.pdf,COVENANTS_FINANCEIROS,4,2,2,0.5773502691896257,0.5,Não encontrado,True,True,True,True,False,3,Não encontrado,"Índice financeiro Dívida Financeira Líquida/EBITDA menor ou igual a 4,00x, apurado semestralmente com base nas demonstrações financeiras consolidadas da AEGEA.",Não encontrado,"Dívida Líquida/EBITDA menor ou igual a 4,00x",,,
conhecimento_12,ADPD_1_Escritura-Escritura_20250613_000.pdf,COVENANTS_FINANCEIROS,4,2,2,0.5773502691896257,0.5,Não encontrado,True,True,True,True,False,3,Não encontrado,"Dívida Financeira Líquida/EBITDA menor ou igual a 4,00x, auferido semestralmente pela AEGEA","Dívida Financeira Líquida/EBITDA ≤ 4,00x",Não encontrado,,,
conhecimento_12,COGN_14_Escritura-Escritura_20241119_000.pdf,DATA_DE_EMISSAO,4,2,2,0.5773502691896257,0.5,Não encontrado,True,True,True,True,False,3,19 de novembro de 2024,Não encontrado,19 de novembro de 2024,Não encontrado,,,
conhecimento_12,PCHS_20_Escritura-Escritura_20250904_000.pdf,COVENANTS_FINANCEIROS,4,2,2,0.5773502691896257,0.5,Não encontrado,True,True,True,True,False,3,"Índice de Subordinação mínimo de 15% (quinze por cento), calculado mensalmente, correspondente à razão entre (i) o resultado da subtração do saldo devedor dos Direitos Creditórios acrescido do valor disponível na Conta Centralizadora Principal menos o montante total das Debêntures da Primeira a Sexta Série, e (ii) o saldo devedor dos Direitos Creditórios acrescido do valor disponível na Conta Centralizadora Principal","Desde a Data de Início da Rentabilidade até a última Data de Vencimento das Debêntures, o Índice de Subordinação deverá ser de, no mínimo, 15 (quinze) por cento.",Não encontrado,Não encontrado,,,
conhecimento_12,SMTO_4_Escritura-Escritura_20220117_000.pdf,COVENANTS_FINANCEIROS,4,2,2,0.5773502691896257,0.5,"Dívida Financeira Líquida Ajustada / EBITDA ≤ 4,0x",False,True,True,True,False,3,Não encontrado,Não encontrado,"Dívida Financeira Líquida Ajustada / EBITDA ≤ 4,0x","Dívida Financeira Líquida Ajustada / EBITDA ≤ 4,0x",,,
conhecimento_12,TPER_1_Escritura-Escritura_20231221_001.pdf,PUBLICO_ALVO,4,2,2,0.5773502691896257,0.5,Não encontrado,True,True,True,True,False,3,Não encontrado,Não encontrado,público em geral,distribuição pública,,,
conhecimento_12,VSCF_8_Escritura-Escritura_20250117_000.pdf,COVENANTS_FINANCEIROS,4,2,2,0.5773502691896257,0.5,Não encontrado,True,True,True,True,False,3,"Não encontrado covenants financeiros tradicionais (DL/EBITDA, ICSD). Existem índices de controle: Índice de Arrecadação (Curva Observada não inferior a 90% da Curva Esperada), Índice de Perdas Over60, Índice de Perdas Over90, Índice de Ágio, Excesso de Retorno da Carteira de Direitos Creditórios, Razão de Subordinação","Razo Mnima de Subordinao: 20 vinte por cento; Excesso de Retorno Mnimo: no poder ser inferior a 5 cinco por cento ao ano; ndice de Arrecadao: verificar se a Curva Observada no respectivo ms da medio apresenta valor inferior a 90 noventa por cento da Curva Esperada para o referido ms; ndice de Perdas Over90: igual ou superior a 3,5 trs inteiros e cinco dcimos por cento em uma Data de Verificao; ndice de Inadimplncia: superior a 5 cinco por cento; taxa mdia ajustada dos financiamentos dirios apurados no Sistema Especial de Liquidao e de Custdia SELIC para ttulos federais atinja um nvel de 16,00 dezesseis por cento ao ano",Não encontrado,Não encontrado,,,
conhecimento_12,VVEO_6_Escritura-Escritura_20221019_000.pdf,COVENANTS_FINANCEIROS,4,2,2,0.5773502691896257,0.5,Não encontrado,True,True,True,True,False,3,Não encontrado,Não encontrado,"Dívida Líquida/EBITDA ≤ 3,5x","DL/EBITDA <= 3,5x",,,
